speaker,content
tutor,"வணக்கம்! இன்று, ஆற்றல் பரிமாற்றம் நமது அன்றாட வானிலை மற்றும் சுற்றுச்சூழலை எவ்வாறு வடிவமைக்கிறது என்பதைப் பற்றி நாம் ஆராயப் போகிறோம். நமது உரையாடலைத் தொடங்க, தெளிவான இரவை விட மேகமூட்டமான இரவில் வெப்பநிலை ஏன் சூடாக இருக்கிறது என்று நீங்கள் நினைக்கிறீர்கள்?"
student,"உண்மையைச் சொல்லాలంటే, எனக்கு இது புரியவில்லை. பகல் நேரத்தில், மேகங்கள் சூரியனை மறைப்பதால் குளிராக இருக்கும், அதனால் மேகமூட்டமான இரவு இன்னும் அதிக குளிராக இருக்க வேண்டாமா?"
tutor,"அது சிந்திப்பதற்கு மிகவும் தர்க்கரீதியான வழி, ஏனென்றால் பகலில் மேகங்கள் நிச்சயமாக உள்வரும் சூரிய ஒளியைத் தடுக்கின்றன. இருப்பினும், இரவில், பூமியின் சூடான மேற்பரப்பு உண்மையில் அதன் சொந்த வெப்பத்தை மேல்நோக்கி விண்வெளியில் வெளியிடுகிறது. அந்த உயரும் வெப்பம் ஒரு அடர்த்தியான மேகப் போர்வையை சந்திக்கும் போது என்ன நடக்கும் என்று நீங்கள் நினைக்கிறீர்கள்?"
student,"பொறுங்கள், வெப்பம் மேகங்களுக்கு அடியில் சிக்கிக் கொள்கிறதா? நான் படுக்கையில் என் போர்வையின் கீழ் இருப்பது போலவா?"
tutor,"அது ஒரு சிறந்த உவமை, நீங்கள் அதை சரியான வழியில் சிந்திக்கிறீர்கள்! உங்கள் போர்வையைப் போலவே, மேகங்கள் பூமியின் மேற்பரப்பில் இருந்து உயரும் வெப்பத்தை விண்வெளியில் தப்பிக்க விடாமல் உறிஞ்சி பிரதிபலிக்கின்றன. மேகப் போர்வை இல்லாத முற்றிலும் தெளிவான இரவில் இந்த செயல்முறை எவ்வாறு வேறுபடும் என்று நீங்கள் நினைக்கிறீர்கள்?"
student,"ஓ, அப்படியானால் மேகங்கள் இல்லாமல், வெப்பம் நேராக விண்வெளிக்கு மிதந்து சென்று மறைந்துவிடுகிறதா? அதனால்தான் தெளிவான இரவுகள் மிகவும் குளிராக இருக்கின்றனவா?"
tutor,"நீங்கள் சரியாகச் சொல்லிவிட்டீர்கள்! அந்த வெப்பத்தை உறிஞ்சுவதற்கு மேகங்கள் இல்லாததால், ஆற்றல் நேரடியாக விண்வெளியின் குளிர்ந்த வெற்றிடத்திற்குள் தப்பிச் செல்கிறது, இதனால் நிலமும் காற்றும் வேகமாக குளிர்ச்சியடைகின்றன. இதை அறிவியல் சொற்களுடன் இணைக்க உதவ, பூமி இந்த ஆற்றலை எந்தக் காற்றும் சுமந்து செல்லத் தேவையில்லாமல் மேல்நோக்கி அனுப்பும்போது என்ன குறிப்பிட்ட வகை வெப்பப் பரிமாற்றம் நிகழ்கிறது என்பது உங்களுக்குத் தெரியுமா?"
student,"ம்ம், அது கதிர்வீச்சா? ஆனால் எனக்கு கொஞ்சம் குழப்பமாக இருக்கிறது, ஏனென்றால் கதிர்வீச்சு என்பது சூரியனிலிருந்தோ அல்லது அணுசக்தி விஷயங்களிலிருந்தோ மட்டுமே வருவதாக நான் நினைத்தேன். தரை கதிரியக்கத்தன்மை வாய்ந்தது அல்ல, இல்லையா?"
tutor,"அது கதிர்வீச்சு என்பது முற்றிலும் சரி, மேலும் வெப்பக் கதிர்வீச்சை அணுக்கரு கதிரியக்கத்துடன் குழப்பிக் கொள்வது மிகவும் பொதுவான ஒரு குழப்பமாகும். இயற்பியலில், 'கதிர்வீச்சு' என்பது அலைகளாகப் பயணிக்கும் ஆற்றலைக் குறிக்கிறது, மேலும் வெப்பநிலை உள்ள அனைத்தும்—தரை, மேகங்கள் மற்றும் நமது உடல்கள் உட்பட—தொடர்ந்து வெப்ப அகச்சிவப்புக் கதிர்வீச்சை வெளியிடுகின்றன. பகல் நேரத்தில் பூமியின் மேற்பரப்பு வெப்பமடைவதால், சூரியன் மறைந்தவுடன் சேமிக்கப்பட்ட அந்த வெப்பக் கதிர்வீச்சுக்கு என்ன நடக்கும் என்று நீங்கள் நினைக்கிறீர்கள்?"
student,"ஓ, இது மிகவும் அர்த்தமுள்ளதாக இருக்கிறது! அப்படியானால், சூரியன் மறையும் போது, தரையானது சேமித்து வைத்திருக்கும் அந்த வெப்ப அலைகள் அனைத்தையும் மீண்டும் வானத்தை நோக்கி செலுத்தத் தொடங்குகிறதா?"
tutor,"சரியாக! நீங்கள் அதைப் புரிந்து கொண்டீர்கள்—தரை தொடர்ந்து அந்த கண்ணுக்குத் தெரியாத அகச்சிவப்பு வெப்ப அலைகளை வளிமண்டலத்தில் வெளியிடுகிறது. இப்போது, எல்லாவற்றையும் ஒன்றாக இணைத்துப் பார்த்தால், நம்மை வெப்பமாக வைத்திருக்க தெளிவான வானத்துடன் ஒப்பிடும்போது மேகங்களின் இருப்பு அந்த குறிப்பிட்ட வெப்ப அலைகளை எவ்வாறு தடுக்கிறது அல்லது உறிஞ்சுகிறது?"
student,"அப்படியானால் அடிப்படையில், தரை அந்த வெப்ப அலைகளை மேல்நோக்கி அனுப்புகிறது, ஆனால் மேகங்கள் அவற்றைப் பிடித்து என் போர்வையைப் போல வெப்பத்தை மீண்டும் நம்மை நோக்கி திருப்பி விடுகின்றனவா? தெளிவான இரவில், அவற்றைப் பிடிக்க எதுவும் இல்லாததால், வெப்ப அலைகள் நேராக விண்வெளிக்குச் சென்றுவிடுகின்றனவா?"
