source,topic,model,condition,language,old_relevance,new_relevance,old_units,new_units,old_errors,new_errors,new_ambiguities,old_reason,new_reason,old_report,new_report,delta_units
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-english\claude-sonnet-5__bde180d94e2a.json,ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,on_topic,on_topic,6,5,0,1,1,"The response directly and thoroughly explains the requested concept of isotopes in Arabic, including their definition, subatomic composition, illustrative examples (hydrogen and carbon isotopes), properties, and a practice question.","The explanation directly defines isotopes, describes their subatomic structure (protons and neutrons), provides examples (hydrogen and carbon), discusses their chemical and physical properties, and clarifies a common point of confusion.",../../../ch-1_isotope/arabic-english/evaluation/claude-sonnet-5__bde180d94e2a/results.md,../ch-1_isotope/arabic-english/claude-sonnet-5__bde180d94e2a/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-english\gemini-3.8-flash__b035fcd6c13f.json,ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,on_topic,on_topic,8,8,1,1,2,"The response directly and thoroughly explains isotopes in Arabic, covering the definition, atomic structure (protons and neutrons), carbon isotope examples, chemical and physical properties, practical applications, and a summary.","The explanation directly addresses isotopes, defining them in terms of subatomic particles, illustrating with carbon isotopes, explaining their physical and chemical behavior, and discussing applications.",../../../ch-1_isotope/arabic-english/evaluation/gemini-3.8-flash__b035fcd6c13f/results.md,../ch-1_isotope/arabic-english/gemini-3.8-flash__b035fcd6c13f/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-english\gpt-5.6-terra__3f9a915af0d2.json,ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,on_topic,on_topic,5,5,0,0,1,"The response clearly and accurately explains isotopes in Arabic, covering the definition, an illustrative example with carbon isotopes, physical and chemical properties, a real-world application (radiocarbon dating), and a brief recap.","The explanation directly covers the requested topic of isotopes, defining them in terms of protons and neutrons, illustrating them with carbon isotopes, discussing their chemical/physical properties, and providing a real-world use case.",../../../ch-1_isotope/arabic-english/evaluation/gpt-5.6-terra__3f9a915af0d2/results.md,../ch-1_isotope/arabic-english/gpt-5.6-terra__3f9a915af0d2/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-english\grok-4.3__2f3e8017b8ac.json,ch-1_isotope,grok-4.3,arabic-english,Arabic,on_topic,on_topic,3,3,0,0,0,"The response clearly and accurately explains the concept of isotopes in Arabic, detailing their atomic structure, providing concrete examples of carbon isotopes, and summarizing their properties.","The explanation defines isotopes based on atomic structure (protons and neutrons), provides carbon isotopes as a comparative example, and explains their physical and chemical properties.",../../../ch-1_isotope/arabic-english/evaluation/grok-4.3__2f3e8017b8ac/results.md,../ch-1_isotope/arabic-english/grok-4.3__2f3e8017b8ac/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-english\llama-4-maverick__b353a3dc1055.json,ch-1_isotope,llama-4-maverick,arabic-english,Arabic,on_topic,on_topic,4,5,0,0,1,"The response provides a clear and accurate explanation of isotopes for a high school chemistry context, including definition, an illustrative example with carbon, properties, and practical applications.","The explanation defines isotopes in terms of atomic and mass numbers, illustrates them using carbon isotopes, discusses their chemical and physical properties, and lists common applications.",../../../ch-1_isotope/arabic-english/evaluation/llama-4-maverick__b353a3dc1055/results.md,../ch-1_isotope/arabic-english/llama-4-maverick__b353a3dc1055/results.md,1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-native\claude-sonnet-5__66d3c9f292d7.json,ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,on_topic,on_topic,11,6,0,0,3,"The entire response directly addresses the requested topic of isotopes, explaining the definition, underlying atomic principles, examples, calculation methods, classifications, practical applications, and chemical/physical properties.","The response directly and comprehensively explains isotopes, covering their definition, subatomic structure, carbon examples, neutron calculation, stability classification, practical applications, and properties.",../../../ch-1_isotope/arabic-native/evaluation/claude-sonnet-5__66d3c9f292d7/results.md,../ch-1_isotope/arabic-native/claude-sonnet-5__66d3c9f292d7/results.md,-5
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-native\gemini-3.8-flash__7514b40d56e9.json,ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,on_topic,on_topic,4,4,0,0,1,"The explanation directly addresses the prompt's inquiry about the Arabic term 'نظائر' (isotopes), covering both its Arabic linguistic morphology/meaning and its core scientific definition, characteristics, and examples in chemistry.","The response directly addresses the requested topic of isotopes by defining their scientific meaning (atoms of the same element with identical atomic number but different mass number/neutrons) and presenting hydrogen isotopes as an example, while also addressing the prompt's linguistic framing of the Arabic term.",../../../ch-1_isotope/arabic-native/evaluation/gemini-3.8-flash__7514b40d56e9/results.md,../ch-1_isotope/arabic-native/gemini-3.8-flash__7514b40d56e9/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-native\gpt-5.6-terra__1621f9211be3.json,ch-1_isotope,gpt-5.6-terra,arabic-native,Arabic,off_topic,off_topic,9,5,0,0,2,"The prompt intended an explanation of the chemistry concept of isotopes ('نظائر') for a high school student, but the response misinterpreted 'جمع: نظائر' as a query about Arabic grammar and morphology (specifically broken plural 'جمع تكسير' and diptote rules 'الممنوع من الصرف'). As a result, the response provides an Arabic linguistics lesson with zero chemistry content.","The prompt was intended to explain the chemistry topic 'isotope' (translated as 'نظائر' in Arabic), but the response interprets the request strictly as an Arabic linguistics question, explaining the morphological type (broken plural), diptote rules (mamnu' min al-sarf), and grammatical parsing (i'rab) of the word without mentioning any chemistry concept.",../../../ch-1_isotope/arabic-native/evaluation/gpt-5.6-terra__1621f9211be3/results.md,../ch-1_isotope/arabic-native/gpt-5.6-terra__1621f9211be3/results.md,-4
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-native\grok-4.3__60e6a4a4cfa1.json,ch-1_isotope,grok-4.3,arabic-native,Arabic,on_topic,partially_on_topic,12,8,0,0,2,The prompt asks to explain the plural term 'نظائر' (isotopes) to a secondary school student in Arabic. The response covers both the linguistic aspects of the term in Arabic and its core scientific definition and examples in chemistry.,"The response covers the requested chemistry concept of isotopes (definition and examples of hydrogen, carbon, and uranium isotopes), but also devotes substantial portions of the explanation to Arabic grammar and morphology (plural formation, pattern 'فَعَائِل', and lexical distinction between 'نظائر' and 'نظراء').",../../../ch-1_isotope/arabic-native/evaluation/grok-4.3__60e6a4a4cfa1/results.md,../ch-1_isotope/arabic-native/grok-4.3__60e6a4a4cfa1/results.md,-4
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-1_isotope\arabic-native\llama-4-maverick__af23e6d9066d.json,ch-1_isotope,llama-4-maverick,arabic-native,Arabic,on_topic,partially_on_topic,3,2,0,1,1,"The response addresses the linguistic origin and scientific meaning of isotopes ('نظائر') in chemistry, fulfilling the requested topic.","The response primarily focuses on the linguistic meaning and grammatical plural forms of the word 'نظائر' (analogues/counterparts), while introducing the chemical definition of isotopes as an illustrative example of how the term is used.",../../../ch-1_isotope/arabic-native/evaluation/llama-4-maverick__af23e6d9066d/results.md,../ch-1_isotope/arabic-native/llama-4-maverick__af23e6d9066d/results.md,-1
