topic_id,topic,model,condition,run_index,job_id,word_units,characters,graphemes,output_tokens
ch-4,redox reactions,gpt-5.6-terra,A: English to English,1,run-001-97569270d004d013,682,5137,4234,1426
ch-4,redox reactions,grok-4.3,A: English to English,1,run-001-6ca9e42ade7873d9,469,3144,2584,1374
ch-4,redox reactions,gemini-3.8-flash,A: English to English,1,run-001-c961b7fd8ecb8b97,602,4044,3316,2186
ch-4,redox reactions,claude-sonnet-5,A: English to English,1,run-001-c7bea64c2c8a45b4,310,2543,2108,1108
ch-4,redox reactions,llama-4-maverick,A: English to English,1,run-001-cb1009486230fe9d,528,3312,2752,703
ch-4,redox reactions,gpt-5.6-terra,B: Tamil to Tamil,2,run-002-68c5a4d58c0795ba,388,3795,2238,1661
ch-4,redox reactions,grok-4.3,B: Tamil to Tamil,2,run-002-a237a107bf861ccc,215,2090,1239,2473
ch-4,redox reactions,gemini-3.8-flash,B: Tamil to Tamil,2,run-002-669d34490611e2ff,312,3073,1813,2155
ch-4,redox reactions,claude-sonnet-5,B: Tamil to Tamil,2,run-002-6e205aae6abd67f6,233,2263,1427,1996
ch-4,redox reactions,llama-4-maverick,B: Tamil to Tamil,2,run-002-33b05b04613c502f,130,1199,646,822
ch-4,redox reactions,gpt-5.6-terra,C: English to Tamil,3,run-003-411171c06a9c46c6,374,3646,2204,1515
ch-4,redox reactions,grok-4.3,C: English to Tamil,3,run-003-45767110e80ca073,242,2292,1321,3172
ch-4,redox reactions,gemini-3.8-flash,C: English to Tamil,3,run-003-b4aabb1c4c7d6ed0,285,2723,1648,2060
ch-4,redox reactions,claude-sonnet-5,C: English to Tamil,3,run-003-c4a94d9096640bb5,301,2840,1805,2499
ch-4,redox reactions,llama-4-maverick,C: English to Tamil,3,run-003-090cff8f5ac35b46,266,2366,1251,1599
ch-5,covalent radius,gpt-5.6-terra,A: English to English,1,run-001-f363e58d0ed8b1ce,263,1660,1365,398
ch-5,covalent radius,grok-4.3,A: English to English,1,run-001-74c61ad967da5842,272,1547,1260,1014
ch-5,covalent radius,gemini-3.8-flash,A: English to English,1,run-001-07fca11817f0cbf8,530,3327,2736,1546
ch-5,covalent radius,claude-sonnet-5,A: English to English,1,run-001-32e17a751371eca0,294,1935,1599,729
ch-5,covalent radius,llama-4-maverick,A: English to English,1,run-001-70ac966231c14e2b,348,1993,1632,423
ch-5,covalent radius,gpt-5.6-terra,B: Tamil to Tamil,2,run-002-cc1fa93bb27c3f12,200,1987,1114,803
ch-5,covalent radius,grok-4.3,B: Tamil to Tamil,2,run-002-82d2163d54bf695e,225,2115,1162,2734
ch-5,covalent radius,gemini-3.8-flash,B: Tamil to Tamil,2,run-002-8a850ca3ac8b44fa,280,2599,1509,1817
ch-5,covalent radius,claude-sonnet-5,B: Tamil to Tamil,2,run-002-45754f15b72ce34d,207,2055,1178,1733
ch-5,covalent radius,llama-4-maverick,B: Tamil to Tamil,2,run-002-7d441e333cc2fddc,160,1365,726,866
ch-5,covalent radius,gpt-5.6-terra,C: English to Tamil,3,run-003-68a24b562029b40f,171,1669,997,713
ch-5,covalent radius,grok-4.3,C: English to Tamil,3,run-003-86d6a629dc2be449,148,1263,723,1991
ch-5,covalent radius,gemini-3.8-flash,C: English to Tamil,3,run-003-95d73d5b028fad25,287,2656,1568,1974
ch-5,covalent radius,claude-sonnet-5,C: English to Tamil,3,run-003-b778d6d860afcc11,171,1587,928,1227
ch-5,covalent radius,llama-4-maverick,C: English to Tamil,3,run-003-058c2d30a895621f,129,1027,568,679
ch-6,alkaline earth metals,gpt-5.6-terra,A: English to English,1,run-001-a2b5c9910abd8a1c,710,5307,4392,1384
ch-6,alkaline earth metals,grok-4.3,A: English to English,1,run-001-60e80a99e3f0b705,471,3408,2616,1093
ch-6,alkaline earth metals,gemini-3.8-flash,A: English to English,1,run-001-4556e1d43bd78897,633,4137,3373,2124
ch-6,alkaline earth metals,claude-sonnet-5,A: English to English,1,run-001-1beda26d67e6061e,300,2228,1863,925
ch-6,alkaline earth metals,llama-4-maverick,A: English to English,1,run-001-39f40728683856f6,409,2734,2309,582
ch-6,alkaline earth metals,gpt-5.6-terra,B: Tamil to Tamil,2,run-002-9baf7202ffae9581,322,3005,1667,1223
ch-6,alkaline earth metals,grok-4.3,B: Tamil to Tamil,2,run-002-88a5a788d042bf2d,280,2608,1505,2085
ch-6,alkaline earth metals,gemini-3.8-flash,B: Tamil to Tamil,2,run-002-939c50596b93be1c,346,3265,1929,2240
ch-6,alkaline earth metals,claude-sonnet-5,B: Tamil to Tamil,2,run-002-8ebbae32bcf22333,185,1685,1026,1339
