topic,model,condition,language,prompt_type,category,unit_count,mean_unit_words
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,ALL,5,40.2
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,CONCEPT,2,56
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,EXAMPLE,2,31
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,CAVEAT,1,27
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,ALL,8,39.375
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,CONCEPT,2,69
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,EXAMPLE,4,27.25
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,ANALOGY,1,54
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,STUDY_SUPPORT,1,14
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,ALL,5,28.8
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,CONCEPT,2,34.5
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,EXAMPLE,2,30.5
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,STUDY_SUPPORT,1,14
ch-1_isotope,grok-4.3,arabic-english,Arabic,english,ALL,3,41
ch-1_isotope,grok-4.3,arabic-english,Arabic,english,CONCEPT,2,41
ch-1_isotope,grok-4.3,arabic-english,Arabic,english,EXAMPLE,1,41
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,ALL,5,36
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,CONCEPT,2,36
ch-1_isotope,llama-4-maverick,arabic-english,Arabic,english,EXAMPLE,3,36
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,ALL,6,35.333333333333336
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,CONCEPT,3,41.666666666666664
ch-1_isotope,claude-sonnet-5,arabic-native,Arabic,native,EXAMPLE,3,29
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,ALL,4,51
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,CONCEPT,2,74.5
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,EXAMPLE,1,28
ch-1_isotope,gemini-3.8-flash,arabic-native,Arabic,native,STUDY_SUPPORT,1,27
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,ALL,6,26.833333333333332
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,CONCEPT,2,29
ch-1_isotope,claude-sonnet-5,bengali-english,Bengali,english,EXAMPLE,2,33
