Welcome! நம்ம இப்போ Shanghai-ல இருந்து Suzhou-க்கு 30 mph speed-ல drive பண்றோம்னு வச்சுக்கலாம், அப்புறம் அதே route-ல 60 mph speed-ல return ஆகி வரோம். இந்த entire round trip-ஓட average speed என்னவா இருக்கும்னு நினைக்கிறீங்க, அத எப்படி calculate பண்ண start பண்ணுவீங்க?
எனக்கு அது வெறும் 45 mph-ஆ இருக்கும்னு தோணுது? ஏன்னா 30-ல போயிட்டு அப்புறம் 60-ல வந்தா, ரெண்டையும் அப்படியே add பண்ணி 2-ஆல divide பண்ணிருவோம், correct-ஆ?
அது நிறைய பேர் பண்ற common-ஆன, intuitive-ஆன first guess-தான்! அது work ஆகுதான்னு பாக்க, trip-ஓட ஒவ்வொரு part-லையும் drive பண்ண எவ்வளவு time ஆச்சுன்னு யோசிப்போம். Shanghai-க்கும் Suzhou-க்கும் நடுவுல இருக்க distance 60 miles-னு வச்சுக்குவோம், 30 mph-ல அங்க போக எத்தனை hours ஆகும், அப்புறம் 60 mph-ல return ஆக எத்தனை hours ஆகும்?
OK, அப்போ அங்க போக 2 hours ஆகும். அப்புறம் திரும்பி வர 1 hour தான் ஆகும் ஏன்னா நாம fast-ஆ drive பண்றோம்.
Excellent calculation. இப்போ, இந்த entire round trip-ஐ பாத்தா, travel பண்ண total distance எவ்வளவு, அப்புறம் drive பண்ண total time எவ்வளவு? இந்த totals-ஐ வெச்சு, actual average speed-ஐ எப்படி calculate பண்ணுவீங்க?
அப்போ total distance 120 miles ஏன்னா each way-க்கும் 60, அப்புறம் total time 3 hours. நான் சும்மா 120-ஐ 3-ஆல divide பண்ணணுமா?   Wait... அது 40 mph-னு வருதே. அது ஏன் 45 இல்ல?
நீங்க perfect-ஆ calculate பண்ணீங்க; average speed உண்மையிலயே 40 mph தான்! அது ஏன் 45 mph இல்லன்னு புரிஞ்சுக்க, ஒவ்வொரு speed-லையும் எவ்வளவு நேரம் travel பண்ணீங்கன்னு நல்லா கவனிச்சு பாருங்க. 30 mph-ல drive பண்ண two hours spend பண்ணிட்டு ஆனா 60 mph-ல drive பண்ண வெறும் one hour தான் spend பண்ணியிருக்கீங்க, இந்த unequal time எப்படி overall average speed-ஐ affect பண்ணுது?
ஓ! அப்போ நான் slow-ஆ drive பண்ண நிறைய time spend பண்ணதால, அது average-ஐ அப்படியே கீழ இழுக்குதா? Like, 60 mph-ஐ விட 30 mph தான் trip-ல அதிகமா count ஆகுதா?
Exactly! நீங்க அத அழகா explain பண்ணீங்க. Slower speed-ல double the time drive பண்ணதால, அந்த slower speed-க்கு தான் உங்க overall average-ல greater "weight" இருக்கு.   ரெண்டு cities-க்கும் நடுவுல இருக்க exact distance நமக்கு தெரியலன்னு வச்சுக்குவோம், 60 miles-க்கு பதிலா அது ஒரு unknown distance $d$-னு வச்சா, average speed அப்பவும் 40 mph இருக்குமா? அத நாம எப்படி prove பண்ணலாம்?
அப்பவும் 40 தான் இருக்கும்னு நினைக்கிறேன்? ஆனா letters use பண்றது கொஞ்சம் confusing-ஆ இருக்கு.   Distance $d$-னா, total distance $2d$-னு எனக்கு தெரியும், ஆனா divide பண்ண என்கிட்ட ஒரு real number இல்லையே அப்புறம் எப்படி time-ஐ கண்டுபிடிக்கிறது?
Starting-ல variables கொஞ்சம் tricky-ஆ தெரியறது completely normal தான், ஆனா நீங்க 60-க்கு use பண்ண அதே steps-ஐ தான் இதுக்கும் use பண்ணலாம். Distance 60 miles-ஆ இருந்தப்போ, time கிடைக்க அத 30 mph-ஆல divide பண்ணீங்க. Distance $d$-ஆ இருந்தா, trip-ஓட first part-க்கு ஆகுற time-ஐ எப்படி எழுதுவீங்க?
அப்போ நான் சும்மா $d$ divided by 30-னு எழுதணுமா? ஒரு fraction மாதிரி, $d/30$?
Spot on! ஆமா, trip-ஓட first part-க்கான time $d/30$ hours.   அதே logic-ஐ follow பண்ணி, return trip-க்கான time-ஐ எப்படி எழுதுவீங்க, அப்புறம் ரெண்டையும் add பண்ணா total time-க்கான expression எப்படி இருக்கும்?
Return trip $d/60$ வரும், correct-ஆ? அப்போ total time சும்மா $d/30 + d/60$ தான்.   Wait, அதுல letters இருக்கறதால அத உண்மையிலயே எப்படி add பண்றது? நான் common denominator எதாவது கண்டுபிடிக்கணுமா?
நீங்க சொன்னது exact-ஆ correct! இதை பண்ண common denominator கண்டுபிடிக்கிறது தான் perfect way.   30-க்கும் 60-க்கும் common denominator என்ன, அப்புறம் அந்த ரெண்டு fractions-ஐயும் எப்படி மாத்தி எழுதி add பண்ணுவீங்க?
