topic,model,condition,language,prompt_type,unit_id,kind,label,word_count,excerpt_count
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,u1,CONCEPT,Definition and subatomic explanation of isotopes,65,1
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,u2,EXAMPLE,Isotopes of hydrogen table,31,1
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,u3,EXAMPLE,Isotopes of carbon and their applications,31,1
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,u4,CONCEPT,General chemical and physical properties of isotopes,47,1
ch-1_isotope,claude-sonnet-5,arabic-english,Arabic,english,u5,CAVEAT,Clarifying that sharing neutron count does not make atoms isotopes,27,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u1,ANALOGY,Car analogy for isotopes,54,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u2,CONCEPT,Scientific definition of isotopes and subatomic components,87,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u3,EXAMPLE,Comparative example of Carbon-12 and Carbon-14,55,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u4,CONCEPT,Chemical vs physical properties of isotopes,51,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u5,EXAMPLE,Medical applications of radioactive isotopes,18,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u6,EXAMPLE,Archaeological application of Carbon-14 dating,25,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u7,EXAMPLE,Energy application using Uranium isotopes,11,1
ch-1_isotope,gemini-3.8-flash,arabic-english,Arabic,english,u8,STUDY_SUPPORT,Summary recap of the core isotope concepts,14,1
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,u1,CONCEPT,Definition of isotopes and effect of neutron count on mass,35,1
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,u2,EXAMPLE,Comparative example of carbon isotopes,43,1
ch-1_isotope,gpt-5.6-terra,arabic-english,Arabic,english,u3,CONCEPT,Chemical and physical properties and stability of isotopes,34,1
