topic,model,condition,condition_label,word_count,relevance,reason,error_records,minor,major,erroneous_units,assessed_units,uncertain_units,skipped_units,error_details,report
isotope,gpt-5.6-terra,English prompt / Arabic response,English prompt / Arabic response,144,on_topic,"The response clearly and accurately explains isotopes in Arabic, covering the definition, an illustrative example with carbon isotopes, physical and chemical properties, a real-world application (radiocarbon dating), and a brief recap.",0,0,0,0,5,0,0,[],ch-1_isotope/arabic-english/evaluation/gpt-5.6-terra__3f9a915af0d2/results.md
isotope,llama-4-maverick,Arabic prompt / Arabic response,Arabic prompt / Arabic response,82,on_topic,"The response addresses the linguistic origin and scientific meaning of isotopes ('نظائر') in chemistry, fulfilling the requested topic.",0,0,0,0,3,0,0,[],ch-1_isotope/arabic-native/evaluation/llama-4-maverick__af23e6d9066d/results.md
isotope,llama-4-maverick,English prompt / Arabic response,English prompt / Arabic response,210,on_topic,"The response provides a clear and accurate explanation of isotopes for a high school chemistry context, including definition, an illustrative example with carbon, properties, and practical applications.",0,0,0,0,4,0,0,[],ch-1_isotope/arabic-english/evaluation/llama-4-maverick__b353a3dc1055/results.md
isotope,gemini-3.8-flash,Arabic prompt / Arabic response,Arabic prompt / Arabic response,267,on_topic,"The explanation directly addresses the prompt's inquiry about the Arabic term 'نظائر' (isotopes), covering both its Arabic linguistic morphology/meaning and its core scientific definition, characteristics, and examples in chemistry.",0,0,0,0,4,0,0,[],ch-1_isotope/arabic-native/evaluation/gemini-3.8-flash__7514b40d56e9/results.md
isotope,gpt-5.6-terra,Arabic prompt / Arabic response,Arabic prompt / Arabic response,120,off_topic,"The prompt intended an explanation of the chemistry concept of isotopes ('نظائر') for a high school student, but the response misinterpreted 'جمع: نظائر' as a query about Arabic grammar and morphology (specifically broken plural 'جمع تكسير' and diptote rules 'الممنوع من الصرف'). As a result, the response provides an Arabic linguistics lesson with zero chemistry content.",0,0,0,0,0,0,9,[],ch-1_isotope/arabic-native/evaluation/gpt-5.6-terra__1621f9211be3/results.md
isotope,grok-4.3,English prompt / Arabic response,English prompt / Arabic response,137,on_topic,"The response clearly and accurately explains the concept of isotopes in Arabic, detailing their atomic structure, providing concrete examples of carbon isotopes, and summarizing their properties.",0,0,0,0,3,0,0,[],ch-1_isotope/arabic-english/evaluation/grok-4.3__2f3e8017b8ac/results.md
isotope,gemini-3.8-flash,English prompt / Arabic response,English prompt / Arabic response,418,on_topic,"The response directly and thoroughly explains isotopes in Arabic, covering the definition, atomic structure (protons and neutrons), carbon isotope examples, chemical and physical properties, practical applications, and a summary.",1,0,1,1,8,0,0,"[{'content_unit_id': 'u6', 'content_unit_label': 'Archaeological and historical dating using Carbon-14', 'passage_ids': ['p38'], 'description': 'The passage claims that scientists date a 50-million-year-old dinosaur skeleton by measuring the remaining carbon-14 in it.', 'correction': 'Carbon-14 dating is only effective up to about 50,000 to 60,000 years. Dating ancient geological fossils such as dinosaurs (tens of millions of years old) relies on other radiometric methods, such as potassium-argon or uranium-lead dating of surrounding rock layers.', 'severity': 'major'}]",ch-1_isotope/arabic-english/evaluation/gemini-3.8-flash__b035fcd6c13f/results.md
isotope,gemini-3.8-flash,English prompt / Bengali response,English prompt / Bengali response,372,on_topic,"The response accurately and clearly explains the chemistry concept of isotopes in Bengali, covering definition, hydrogen isotopes, properties, and applications.",0,0,0,0,9,0,0,[],ch-1_isotope/bengali-english/evaluation/gemini-3.8-flash__1617ce42bc08/results.md
isotope,claude-sonnet-5,English prompt / Bengali response,English prompt / Bengali response,191,on_topic,"The entire response directly explains isotopes, their definition, examples (hydrogen and carbon), physical and chemical properties, an explanatory analogy, and a memory rule in Bengali.",0,0,0,0,6,0,0,[],ch-1_isotope/bengali-english/evaluation/claude-sonnet-5__a2d3eb1dc829/results.md
isotope,grok-4.3,Arabic prompt / Arabic response,Arabic prompt / Arabic response,187,on_topic,The prompt asks to explain the plural term 'نظائر' (isotopes) to a secondary school student in Arabic. The response covers both the linguistic aspects of the term in Arabic and its core scientific definition and examples in chemistry.,0,0,0,0,12,0,0,[],ch-1_isotope/arabic-native/evaluation/grok-4.3__60e6a4a4cfa1/results.md
isotope,grok-4.3,English prompt / Bengali response,English prompt / Bengali response,170,on_topic,"The entire response directly and accurately explains the concept of isotopes in Bengali, including their definition, examples (hydrogen and carbon isotopes), properties, and applications.",0,0,0,0,5,0,0,[],ch-1_isotope/bengali-english/evaluation/grok-4.3__27f332e26d9d/results.md
isotope,claude-sonnet-5,English prompt / English response,English prompt / English response,270,on_topic,"The explanation directly addresses isotopes at a high school chemistry level, covering their definition, subatomic structure, concrete examples, physical and chemical properties, real-world application, and a comprehension check.",0,0,0,0,6,0,0,[],ch-1_isotope/english/evaluation/claude-sonnet-5__5002c65cc4a9/results.md
