欢迎！我们来想象一下，你正以每小时30英里的速度从上海开车到苏州，然后以每小时60英里的速度沿完全相同的路线返回。你认为这次整个往返行程的平均速度会是多少呢，你会怎么开始计算呢？
我想应该是每小时45英里吧？因为如果去的时候是30，回来是60，就把它们加起来再除以2，对吗？
这是一个非常普遍且直观的初步猜测！为了验证这个想法是否正确，我们来想一想旅程每一段所花费的驾驶时间。如果我们假设上海和苏州之间的距离是60英里，那么以每小时30英里的速度去那里需要多少小时，以每小时60英里的速度返回又需要多少小时呢？
好的，那么去程需要2个小时。回程因为开得更快，所以只需要1个小时。
计算得非常棒。现在，我们来看整个往返行程，总共行驶的距离是多少，总共花费的驾驶时间又是多少呢？根据这些总数，你会如何计算实际的平均速度呢？
那么总距离是120英里，因为单程是60英里，总时间是3个小时。我是不是直接用120除以3就行了？  等等……那等于每小时40英里。为什么不是45呢？
你算得完全正确，平均速度确实是每小时40英里！要想明白为什么不是每小时45英里，仔细看看你以每种速度行驶了多长时间。既然你花了两个小时以每小时30英里的速度行驶，但只花了一个小时以每小时60英里的速度行驶，这个不等的时间是如何影响整体平均速度的呢？
哦！所以是因为我花在慢速驾驶上的时间更多，所以它把平均速度拉低了？就像说，在整个行程中，每小时30英里的速度所占的比重比每小时60英里的要大？
完全正确！你解释得太棒了。因为你花了两倍的时间以较慢的速度行驶，所以那个较慢的速度对你的整体平均速度有更大的“权重”。  如果我们不知道城市之间的确切距离，比如说它是一个未知距离d而不是60英里，平均速度还会是每小时40英里吗？我们该如何证明呢？
我猜应该还是40吧？但是用字母有点让人困惑。  如果距离是d，我知道总距离是2d，但如果没有一个实际的数字可以用来除，我该怎么求出时间呢？
刚开始觉得变量有点棘手是完全正常的，但你可以用刚才处理数字60时完全相同的步骤来做。当距离是60英里时，你用它除以每小时30英里来得到时间。如果距离是d，你会如何写出第一段行程所花的时间呢？
所以我直接写d除以30？就像一个分数，d/30？
完全正确！是的，第一段行程的时间就是d/30小时。  按照同样的逻辑，你会如何写出返程的时间，以及把它们加在一起后，总时间的表达式会是什么样子？
返程就是d/60，对吧？所以总时间就是d/30 + d/60。  等等，既然它们里面有字母，我到底该怎么把它们加起来？我需要找一个公分母之类的吗？
你说得完全对！找公分母是解决这个问题的绝佳方法。  30和60的公分母是什么，你会如何改写并把这两个分数相加呢？
我想公分母是60。所以d/30就变成2d/60，对吗？  如果我把它们加起来，是不是就得到3d/60？
完全正确！往返的总时间确实是3d/60，我们可以把它化简为d/20。  现在，记住平均速度是总距离除以总时间。如果你的总距离是2d，总时间是d/20，当你用前者除以后者时，会发生什么？
所以我需要计算2d除以d/20？如果我把分数颠倒过来变成乘法，它就变成了2d乘以20/d……  等等，d直接消掉了！这是不是意味着结果就是2乘以20，等于40？
你做到了！这是一次非常出色的代数运算，你刚刚从数学上证明了，无论两个城市相距多远，平均速度永远是每小时40英里。  你认为为什么距离d最后被消掉了呢？这告诉我们距离是如何影响往返行程的平均速度的呢？
因为分子和分母上都有一个d，所以它们就直接约掉了？  这是不是说实际距离根本就不重要？比如，就算两个城市相距1000英里，结果也还是每小时40英里？
