comparison,language,topic,model,total,CONCEPT,EXAMPLE,ANALOGY,PROCEDURE,STUDY_SUPPORT,CAVEAT,OTHER
response_language,Arabic,isotope,claude-sonnet-5,0,0,0,0,0,-1,1,0
response_language,Arabic,isotope,gemini-3.8-flash,0,0,0,0,0,0,0,0
response_language,Arabic,isotope,gpt-5.6-terra,1,0,0,0,0,1,0,0
response_language,Arabic,isotope,grok-4.3,-2,0,-1,0,0,-1,0,0
response_language,Arabic,isotope,llama-4-maverick,-2,0,-1,0,0,-1,0,0
response_language,Arabic,stoichiometry,claude-sonnet-5,-1,-4,1,0,1,1,0,0
response_language,Arabic,stoichiometry,gemini-3.8-flash,-1,-1,0,0,0,0,0,0
response_language,Arabic,stoichiometry,gpt-5.6-terra,1,2,1,0,-1,0,-1,0
response_language,Arabic,stoichiometry,grok-4.3,-5,0,-4,0,-1,0,0,0
response_language,Arabic,stoichiometry,llama-4-maverick,-2,-3,2,0,0,-1,0,0
response_language,Arabic,mole concept,claude-sonnet-5,2,0,1,1,0,0,0,0
response_language,Arabic,mole concept,gemini-3.8-flash,-1,0,0,0,-1,0,0,0
response_language,Arabic,mole concept,gpt-5.6-terra,0,-2,2,-1,1,0,0,0
response_language,Arabic,mole concept,grok-4.3,-2,0,0,-1,-1,0,0,0
response_language,Arabic,mole concept,llama-4-maverick,1,1,2,0,-1,-1,0,0
response_language,Arabic,redox reactions,claude-sonnet-5,-6,-3,-4,-1,1,1,0,0
response_language,Arabic,redox reactions,gemini-3.8-flash,0,2,0,0,0,-1,-1,0
response_language,Arabic,redox reactions,gpt-5.6-terra,-6,0,-4,0,0,-1,-1,0
response_language,Arabic,redox reactions,grok-4.3,-3,1,-2,0,-1,-1,0,0
response_language,Arabic,redox reactions,llama-4-maverick,-5,-2,-2,0,0,-1,0,0
response_language,Arabic,covalent radius,claude-sonnet-5,0,1,0,0,0,-1,0,0
response_language,Arabic,covalent radius,gemini-3.8-flash,-1,0,-1,1,0,-1,0,0
response_language,Arabic,covalent radius,gpt-5.6-terra,1,1,0,0,0,0,0,0
response_language,Arabic,covalent radius,grok-4.3,-2,1,-2,0,0,-1,0,0
response_language,Arabic,covalent radius,llama-4-maverick,-1,1,-1,0,0,-1,0,0
response_language,Arabic,alkaline earth metals,claude-sonnet-5,1,0,2,-1,0,0,0,0
response_language,Arabic,alkaline earth metals,gemini-3.8-flash,-2,0,-1,-1,0,0,0,0
response_language,Arabic,alkaline earth metals,gpt-5.6-terra,-8,0,-8,0,0,1,-1,0
response_language,Arabic,alkaline earth metals,grok-4.3,2,2,0,0,0,-1,1,0
response_language,Arabic,alkaline earth metals,llama-4-maverick,2,2,2,0,0,-2,0,0
response_language,Arabic,vapour phase refining,claude-sonnet-5,-1,1,0,-1,0,-1,0,0
response_language,Arabic,vapour phase refining,gemini-3.8-flash,-1,0,0,0,0,-1,0,0
response_language,Arabic,vapour phase refining,gpt-5.6-terra,1,1,0,0,0,0,0,0
response_language,Arabic,vapour phase refining,grok-4.3,0,0,0,0,0,0,0,0
response_language,Arabic,vapour phase refining,llama-4-maverick,-4,-1,-2,0,0,-1,0,0
response_language,Bengali,isotope,claude-sonnet-5,1,0,0,1,0,0,0,0
response_language,Bengali,isotope,gemini-3.8-flash,1,0,0,0,0,1,0,0
response_language,Bengali,isotope,gpt-5.6-terra,3,0,2,0,0,1,0,0
response_language,Bengali,isotope,grok-4.3,2,0,3,0,0,-1,0,0
response_language,Bengali,isotope,llama-4-maverick,-1,0,0,0,0,-1,0,0
response_language,Bengali,stoichiometry,claude-sonnet-5,-2,-1,0,-1,0,0,0,0
response_language,Bengali,stoichiometry,gemini-3.8-flash,0,0,1,0,0,-1,0,0
response_language,Bengali,stoichiometry,gpt-5.6-terra,-3,0,1,-1,-1,0,-2,0
response_language,Bengali,stoichiometry,grok-4.3,-8,-3,-3,-1,0,-1,0,0
response_language,Bengali,stoichiometry,llama-4-maverick,-4,-3,1,0,-1,-1,0,0
response_language,Bengali,mole concept,claude-sonnet-5,4,2,1,1,0,0,0,0
response_language,Bengali,mole concept,gemini-3.8-flash,0,0,0,0,0,0,0,0
response_language,Bengali,mole concept,gpt-5.6-terra,-2,-1,1,-1,0,-1,0,0
response_language,Bengali,mole concept,grok-4.3,-1,1,-1,-1,-1,1,0,0
response_language,Bengali,mole concept,llama-4-maverick,2,1,3,0,-1,-1,0,0
response_language,Bengali,redox reactions,claude-sonnet-5,-4,-3,0,-1,0,0,0,0
response_language,Bengali,redox reactions,gemini-3.8-flash,-2,2,0,-1,0,-2,-1,0
response_language,Bengali,redox reactions,gpt-5.6-terra,3,2,4,0,-1,-1,-1,0
response_language,Bengali,redox reactions,grok-4.3,1,0,2,0,0,-1,0,0
response_language,Bengali,redox reactions,llama-4-maverick,-5,-1,-2,0,0,-2,0,0
response_language,Bengali,covalent radius,claude-sonnet-5,0,-1,1,1,0,-1,0,0
response_language,Bengali,covalent radius,gemini-3.8-flash,0,-1,0,1,0,-1,1,0
response_language,Bengali,covalent radius,gpt-5.6-terra,1,2,0,0,0,0,-1,0
response_language,Bengali,covalent radius,grok-4.3,-2,0,-2,0,0,0,0,0
response_language,Bengali,covalent radius,llama-4-maverick,2,1,1,0,0,-1,1,0
response_language,Bengali,alkaline earth metals,claude-sonnet-5,5,5,0,-1,0,1,0,0
response_language,Bengali,alkaline earth metals,gemini-3.8-flash,0,0,1,-1,0,0,0,0
response_language,Bengali,alkaline earth metals,gpt-5.6-terra,-4,2,-5,0,0,0,-1,0
response_language,Bengali,alkaline earth metals,grok-4.3,4,4,0,0,0,-1,1,0
response_language,Bengali,alkaline earth metals,llama-4-maverick,-4,-1,-1,0,0,-2,0,0
response_language,Bengali,vapour phase refining,claude-sonnet-5,-1,0,0,-1,0,0,0,0
response_language,Bengali,vapour phase refining,gemini-3.8-flash,0,1,0,-1,1,-1,0,0
response_language,Bengali,vapour phase refining,gpt-5.6-terra,1,0,0,0,1,0,0,0
response_language,Bengali,vapour phase refining,grok-4.3,1,0,0,0,0,1,0,0
response_language,Bengali,vapour phase refining,llama-4-maverick,-2,-1,0,0,0,-1,0,0
response_language,French,isotope,claude-sonnet-5,1,1,-1,1,0,0,0,0
response_language,French,isotope,gemini-3.8-flash,1,1,0,0,0,0,0,0
response_language,French,isotope,gpt-5.6-terra,0,0,0,0,0,0,0,0
response_language,French,isotope,grok-4.3,2,0,2,0,0,0,0,0
response_language,French,isotope,llama-4-maverick,0,0,0,0,0,0,0,0
response_language,French,stoichiometry,claude-sonnet-5,-3,-3,1,-1,0,-1,1,0
response_language,French,stoichiometry,gemini-3.8-flash,-1,0,-1,0,0,0,0,0
response_language,French,stoichiometry,gpt-5.6-terra,2,1,2,0,-1,1,-1,0
response_language,French,stoichiometry,grok-4.3,0,-1,2,0,0,-1,0,0
response_language,French,stoichiometry,llama-4-maverick,-2,-2,0,0,0,0,0,0
response_language,French,mole concept,claude-sonnet-5,2,1,0,1,0,0,0,0
response_language,French,mole concept,gemini-3.8-flash,0,1,0,0,-1,0,0,0
response_language,French,mole concept,gpt-5.6-terra,-6,-3,-2,-1,0,-1,1,0
response_language,French,mole concept,grok-4.3,0,0,2,0,-1,-1,0,0
response_language,French,mole concept,llama-4-maverick,2,3,1,0,-1,-1,0,0
response_language,French,redox reactions,claude-sonnet-5,-5,-3,-1,-1,0,0,0,0
response_language,French,redox reactions,gemini-3.8-flash,-3,0,0,-1,0,-1,-1,0
response_language,French,redox reactions,gpt-5.6-terra,-2,-1,2,0,0,-2,-1,0
response_language,French,redox reactions,grok-4.3,-1,2,-1,0,0,-2,0,0
response_language,French,redox reactions,llama-4-maverick,-5,-2,-3,0,1,-1,0,0
response_language,French,covalent radius,claude-sonnet-5,0,0,0,1,0,-1,0,0
response_language,French,covalent radius,gemini-3.8-flash,1,1,0,0,0,0,0,0
response_language,French,covalent radius,gpt-5.6-terra,1,1,1,0,0,-1,0,0
response_language,French,covalent radius,grok-4.3,-1,2,-2,0,0,-1,0,0
response_language,French,covalent radius,llama-4-maverick,1,1,0,0,0,0,0,0
response_language,French,alkaline earth metals,claude-sonnet-5,0,2,0,-1,0,-1,0,0
response_language,French,alkaline earth metals,gemini-3.8-flash,-4,-2,-1,-1,0,0,0,0
response_language,French,alkaline earth metals,gpt-5.6-terra,-7,0,-6,0,0,0,-1,0
response_language,French,alkaline earth metals,grok-4.3,0,1,-1,0,0,0,0,0
response_language,French,alkaline earth metals,llama-4-maverick,1,2,1,0,0,-2,0,0
response_language,French,vapour phase refining,claude-sonnet-5,-1,0,0,-1,0,0,0,0
response_language,French,vapour phase refining,gemini-3.8-flash,-1,0,0,0,0,-1,0,0
response_language,French,vapour phase refining,gpt-5.6-terra,2,1,0,0,0,0,1,0
response_language,French,vapour phase refining,grok-4.3,-1,-1,0,0,0,0,0,0
response_language,French,vapour phase refining,llama-4-maverick,-3,-1,-1,0,0,-1,0,0
response_language,Hindi,isotope,claude-sonnet-5,1,0,0,1,0,0,0,0
response_language,Hindi,isotope,gemini-3.8-flash,2,1,1,0,0,0,0,0
response_language,Hindi,isotope,gpt-5.6-terra,4,0,3,0,0,1,0,0
response_language,Hindi,isotope,grok-4.3,0,1,0,0,0,-1,0,0
response_language,Hindi,isotope,llama-4-maverick,0,0,0,0,0,0,0,0
