speaker,content
tutor,"வணக்கம்! இன்று, தாவரங்கள் எப்படி வளர்கின்றன என்பது பற்றிய ஒரு சுவாரஸ்யமான மர்மத்தை நாம் ஆராயப் போகிறோம். ஒரு மண் தொட்டியில் நடப்பட்ட ஒரு சிறிய விதை, காலப்போக்கில் ஒரு பெரிய, கனமான மரமாக வளர்வதை கற்பனை செய்து பாருங்கள். அந்த மரத்தின் பெரும்பாலான நிறை உண்மையில் எங்கிருந்து வருகிறது என்று நீங்கள் நினைக்கிறீர்கள்?"
student,"அதாவது, அது மண்ணிலிருந்துதானே வர வேண்டும்? வேர்கள் மண்ணை உறிஞ்சி தண்டு மற்றும் கிளைகளை உருவாக்குகின்றன."
tutor,"வேர்கள் தரையில் ஆழமாகப் புதைந்திருப்பதால், இது மிகவும் பொதுவான மற்றும் தர்க்கரீதியான சிந்தனை முறைதான். இருப்பினும், மரம் வளர்வதற்காக உண்மையில் மண்ணை உறிஞ்சினால், பல ஆண்டுகளாக அந்த தொட்டியில் உள்ள மண்ணின் அளவிற்கு என்ன நேரிடும் என்று நீங்கள் நினைக்கிறீர்கள்? மண் இருந்த இடத்தில் ஒரு பெரிய பள்ளத்தை நாம் பார்ப்போமா?"
student,"இருங்கள், ஆமாம்... மண் உண்மையில் மறைந்து போவதில்லை. அப்படியானால், அது மண்ணிலிருந்து வரவில்லை என்றால், இவ்வளவு பெரிதாக வளர்வதற்கு அது அதிகளவு தண்ணீரைக் குடிக்கிறதா?"
tutor,"நீங்கள் இங்கே சில சிறந்த தொடர்புகளை ஏற்படுத்துகிறீர்கள்; மண் மறைந்து போவதில்லை என்பதை நீங்கள் சரியாகக் கவனித்தீர்கள்! தண்ணீர் உண்மையில் இன்றியமையாதது மற்றும் ஒரு உயிருள்ள தாவரத்தின் எடையில் பெரும்பகுதியை உருவாக்குகிறது என்றாலும், ஒரு மரத்தின் காய்ந்த மரம் போன்ற திடமான அமைப்பு கார்பனால் ஆனது. ஒரு தாவரம் மண்ணிலிருந்து கார்பனை உறிஞ்சவில்லை என்றால், அது எங்கிருந்து கார்பனைப் பெறக்கூடும் என்று உங்களால் சிந்திக்க முடியுமா?"
student,"இருருங்கள், கார்பனா? காற்றில் உள்ள கார்பன் டை ஆக்சைடு போலவா? ஆனால் காற்று கண்ணுக்குத் தெரியாதது, அப்படியென்றால் எப்படி ஒரு பெரிய, கனமான மரம் காற்றால் உருவாக முடியும்? இது கேட்பதற்குப் பைத்தியக்காரத்தனமாக இருக்கிறது."
tutor,"கண்ணுக்குத் தெரியாத ஒன்று ஒரு திடமான மரத்தண்டாக மாற முடியும் என்பது கேட்பதற்கு மிகவும் ஆச்சரியமாகத்தான் இருக்கிறது! நாம் கார்பன் டை ஆக்சைடு வாயுவைப் பார்க்க முடியாவிட்டாலும், அதன் மூலக்கூறுகளுக்கு இன்னும் எடை உண்டு, மரம் அவற்றை அதன் இலைகள் மூலம் பிடிக்கிறது. சூரிய ஒளி, நீர் மற்றும் கார்பன் டை ஆக்சைடை திடமான சர்க்கரையாக மாற்ற தாவரங்கள் பயன்படுத்தும் வேதியியல் செயல்முறையின் பெயர் உங்களுக்கு நினைவிருக்கிறதா?"
student,"ஓ, அது ஒளிச்சேர்க்கையா? இருங்கள், அப்படியானால் மரம் அடிப்படையில் காற்றில் இருந்து உருவாக்கும் சர்க்கரையிலிருந்து அதன் தண்டு மற்றும் கிளைகளை உருவாக்குகிறதா?"
tutor,"மிகச் சரியாக! நீங்கள் சரியாகச் சொன்னீர்கள் - அந்த செயல்முறை உண்மையில் ஒளிச்சேர்க்கைதான். அந்த சர்க்கரைகளில் காற்றில் இருந்து வரும் கார்பன் உள்ளது, அதை மரம் ஒன்றாக இணைத்து நாம் மரம் என்று அறியும் கடினமான, அமைப்பு ரீதியான நார்களை உருவாக்குகிறது. நாம் இப்போது விவாதித்ததன் அடிப்படையில், ஒரு மரத்தின் உண்மையான உலர்ந்த நிறை எங்கிருந்து வருகிறது என்பதை நீங்கள் இப்போது எப்படி சுருக்கமாகக் கூறுவீர்கள்?"
student,"அப்படியானால், அடிப்படையில், மரத்தின் பெரும்பாலான திட எடை காற்றில் உள்ள கார்பன் டை ஆக்சைடு வாயுவிலிருந்து வருகிறது! கண்ணுக்குத் தெரியாத காற்றால் ஒரு கனமான மரம் உருவாகிறது என்று நினைப்பது இன்னும் மிகவும் விசித்திரமாக இருக்கிறது, ஆனால் அது இப்போது அர்த்தமுள்ளதாக இருக்கிறது."
tutor,"பல விஞ்ஞானிகள் கூட பல நூற்றாண்டுகளாக ஏற்றுக்கொள்ளப் போராடிய உயிரியலில் ஒரு அடிப்படைக் கருத்தை நீங்கள் புரிந்துகொண்டுள்ளீர்கள்! இந்த தொடர்பை உண்மையில் உறுதிப்படுத்த, ஒரு மரத்துண்டை முற்றிலும் தண்ணீர் இல்லாமல் முழுமையாக உலர்த்தினால், மீதமுள்ள அந்த திடமான அமைப்பு எதனால் ஆனது, மற்றும் தாவரம் அதை எப்படிப் பிடித்தது?"
student,"அது பெரும்பாலும் அது உருவாக்கிய சர்க்கரைகளிலிருந்து வரும் கார்பனால் ஆனது, சரிதானே? மேலும் அது அந்த கார்பனை ஒளிச்சேர்க்கையின் போது அதன் இலைகளைப் பயன்படுத்தி காற்றில் உள்ள கண்ணுக்குத் தெரியாத கார்பன் டை ஆக்சைடு வாயுவிலிருந்து பிடித்தது!"
tutor,"நீங்கள் அதை அழகாகவும் துல்லியமாகவும் விளக்கியுள்ளீர்கள்! நாம் சுவாசிக்கும் மெல்லிய காற்றிலிருந்துதான் காடுகள் அடிப்படையில் உருவாகின்றன என்பதை உணர்வது நம்பமுடியாதது. மரங்கள் வளர மண்ணை ""சாப்பிடுகின்றன"" என்று இன்னும் நம்பும் ஒரு நண்பருக்கு, இப்போது நீங்கள் பார்ப்பது போல் உலகைப் பார்க்க உதவ, இந்தக் கருத்தை எப்படி விளக்குவீர்கள்?"
student,"மரங்கள் மண்ணைச் சாப்பிட்டால், அவற்றைச் சுற்றி தரையில் ஒரு பெரிய பள்ளம் இருக்கும் என்று நான் அவர்களிடம் சொல்வேன்! பிறகு, ஒளிச்சேர்க்கையைப் பயன்படுத்தி தங்கள் தண்டுகளை உருவாக்க அவை உண்மையில் காற்றில் இருந்து கண்ணுக்குத் தெரியாத கார்பன் டை ஆக்சைடு வாயுவை எப்படி இழுக்கின்றன என்பதை விளக்குவேன்."
tutor,"மண் பள்ளம் உவமையைப் பயன்படுத்தி, கருத்தை உடனடியாகத் தெரியும்படி விளக்குவதற்கு இது நம்பமுடியாத அளவிற்குத் தெளிவான மற்றும் நம்பத்தகுந்த வழியாகும். ஒளிச்சேர்க்கையின் வேதியியலை நம்மைச் சுற்றியுள்ள பௌதீக உலகத்துடன் இணைப்பதில் நீங்கள் ஒரு அற்புதமான வேலையைச் செய்துள்ளீர்கள். தாவரங்கள் எப்படி வளர்கின்றன அல்லது இந்தத் தனிமங்களை எப்படிப் பயன்படுத்துகின்றன என்பது பற்றி உங்களுக்கு வேறு ஏதேனும் கேள்விகள் உள்ளதா?"
student,"அப்படி இல்லை என்று நினைக்கிறேன், எனக்கு இறுதியாகப் புரிகிறது! இருங்கள், உண்மையில் ஒரு சிறிய விஷயம் - அவை மண்ணைச் சாப்பிடவில்லை என்றால், அவற்றுக்கு ஏன் மண் தேவைப்படுகிறது? அது அவற்றை நிலைநிறுத்தி, தண்ணீர் கொடுப்பதற்காக மட்டும்தானா?"
tutor,"இது ஒரு சிறந்த தொடர் கேள்வி, மண் முக்கிய உடல்ரீதியான ஆதரவை வழங்குகிறது மற்றும் தண்ணீரைச் சேமிக்கிறது என்பது முற்றிலும் சரிதான். இருப்பினும், மண்ணில் நைட்ரஜன் மற்றும் பாஸ்பரஸ் போன்ற சிறிய அளவிலான அத்தியாவசிய தாதுக்களும் உள்ளன - அவை மரத்தின் உண்மையான எடைக்கு அதிகமாக பங்களிக்காவிட்டாலும், மரத்தின் ஆரோக்கியத்திற்கு ""வைட்டமின்கள்"" போல செயல்படுகின்றன. இதை அறிந்த நிலையில், மரத்தின் ஒட்டுமொத்த நிறையின் அடிப்படையில் இந்த மண் ஊட்டச்சத்துக்களின் பங்கு கார்பன் டை ஆக்சைடின் பாத்திரத்துடன் எப்படி ஒப்பிடப்படுகிறது?"
student,"ஓ, எனக்குப் புரிகிறது! அப்படியானால், கார்பன் டை ஆக்சைடுதான் மரத்திற்கு அதன் கனமான நிறையை அளிக்கிறது, மேலும் மண்ணில் உள்ள பொருட்கள் தண்டை உருவாக்காமல், அதை ஆரோக்கியமாக வைத்திருக்க சிறிய வைட்டமின்கள் போன்றவை. இது இப்போது முற்றிலும் அர்த்தமுள்ளதாக இருக்கிறது!"
