model,condition,n,word_units_mean,word_units_median,word_units_min,word_units_max,characters_mean,characters_median,characters_min,characters_max,graphemes_mean,graphemes_median,graphemes_min,graphemes_max,output_tokens_mean,output_tokens_median,output_tokens_min,output_tokens_max
gpt-5.6-terra,A: English to English,4,483.25,480.0,263,710,3534.75,3586.0,1660,5307,2920.5,2962.5,1365,4392,947.25,982.5,398,1426
grok-4.3,A: English to English,4,396.25,421.0,272,471,2588,2698.5,1547,3408,2071.75,2205.5,1260,2616,1162.25,1130.5,1014,1374
gemini-3.8-flash,A: English to English,4,604,617.5,530,651,3971.75,4090.5,3327,4379,3263.75,3344.5,2736,3630,2023.5,2155.0,1546,2238
claude-sonnet-5,A: English to English,4,330.75,305.0,294,419,2465,2385.5,1935,3154,2010.5,1985.5,1599,2472,997.5,1016.5,729,1228
llama-4-maverick,A: English to English,4,401.25,378.5,320,528,2533.5,2414.5,1993,3312,2110.75,2029.5,1632,2752,544,525.0,423,703
gpt-5.6-terra,B: Tamil to Tamil,4,272.5,261.0,180,388,2605,2496.0,1633,3795,1475.75,1390.5,884,2238,1095.5,1013.0,695,1661
grok-4.3,B: Tamil to Tamil,4,249.75,252.0,215,280,2329,2309.0,2090,2608,1321.75,1310.0,1162,1505,2559.75,2603.5,2085,2947
gemini-3.8-flash,B: Tamil to Tamil,4,332.75,329.0,280,393,3192.5,3169.0,2599,3833,1900.25,1871.0,1509,2350,2159.25,2197.5,1817,2425
claude-sonnet-5,B: Tamil to Tamil,4,201.25,196.0,180,233,1982.5,1991.0,1685,2263,1184.75,1143.0,1026,1427,1641.75,1616.0,1339,1996
llama-4-maverick,B: Tamil to Tamil,4,156.75,145.0,86,251,1375.75,1282.0,737,2202,746,686.0,374,1238,924,844.0,462,1546
gpt-5.6-terra,C: English to Tamil,4,334.25,310.5,171,545,3189.75,3040.0,1669,5010,1887.5,1805.5,997,2942,1314.75,1237.0,713,2072
grok-4.3,C: English to Tamil,4,205.25,211.5,148,250,1852.5,1927.5,1263,2292,1053.25,1084.5,723,1321,2818.25,2845.0,1991,3592
gemini-3.8-flash,C: English to Tamil,4,328,328.0,285,371,3030.5,3043.0,2656,3380,1848.25,1858.0,1568,2109,2084,2072.0,1974,2218
claude-sonnet-5,C: English to Tamil,4,235.5,235.0,171,301,2150.25,2087.0,1587,2840,1321.25,1276.0,928,1805,1800.25,1737.5,1227,2499
llama-4-maverick,C: English to Tamil,4,224.5,217.5,129,334,1964.25,1979.5,1027,2871,1065,1052.0,568,1588,1307.5,1331.5,679,1888
