topic,model,condition,condition_label,word_count,total,CONCEPT,EXAMPLE,ANALOGY,PROCEDURE,STUDY_SUPPORT,CAVEAT,OTHER,source
isotope,gpt-5.6-terra,English prompt / Arabic response,English prompt / Arabic response,144,5,2,2,0,0,1,0,0,ch-1_isotope/arabic-english/gpt-5.6-terra__3f9a915af0d2.json
isotope,llama-4-maverick,Arabic prompt / Arabic response,Arabic prompt / Arabic response,82,3,1,1,0,0,1,0,0,ch-1_isotope/arabic-native/llama-4-maverick__af23e6d9066d.json
isotope,llama-4-maverick,English prompt / Arabic response,English prompt / Arabic response,210,4,3,1,0,0,0,0,0,ch-1_isotope/arabic-english/llama-4-maverick__b353a3dc1055.json
isotope,gemini-3.8-flash,Arabic prompt / Arabic response,Arabic prompt / Arabic response,267,4,2,1,0,0,1,0,0,ch-1_isotope/arabic-native/gemini-3.8-flash__7514b40d56e9.json
isotope,grok-4.3,English prompt / Arabic response,English prompt / Arabic response,137,3,2,1,0,0,0,0,0,ch-1_isotope/arabic-english/grok-4.3__2f3e8017b8ac.json
isotope,gemini-3.8-flash,English prompt / Arabic response,English prompt / Arabic response,418,8,2,4,1,0,1,0,0,ch-1_isotope/arabic-english/gemini-3.8-flash__b035fcd6c13f.json
isotope,gemini-3.8-flash,English prompt / Bengali response,English prompt / Bengali response,372,9,2,4,1,0,2,0,0,ch-1_isotope/bengali-english/gemini-3.8-flash__1617ce42bc08.json
isotope,claude-sonnet-5,English prompt / Bengali response,English prompt / Bengali response,191,6,2,2,1,0,1,0,0,ch-1_isotope/bengali-english/claude-sonnet-5__a2d3eb1dc829.json
isotope,grok-4.3,Arabic prompt / Arabic response,Arabic prompt / Arabic response,187,12,3,7,0,0,1,1,0,ch-1_isotope/arabic-native/grok-4.3__60e6a4a4cfa1.json
isotope,grok-4.3,English prompt / Bengali response,English prompt / Bengali response,170,5,3,2,0,0,0,0,0,ch-1_isotope/bengali-english/grok-4.3__27f332e26d9d.json
isotope,claude-sonnet-5,English prompt / English response,English prompt / English response,270,6,3,2,0,0,1,0,0,ch-1_isotope/english/claude-sonnet-5__5002c65cc4a9.json
isotope,gemini-3.8-flash,English prompt / English response,English prompt / English response,546,8,2,4,1,0,1,0,0,ch-1_isotope/english/gemini-3.8-flash__daa4bcdecdd6.json
isotope,gpt-5.6-terra,English prompt / English response,English prompt / English response,145,3,2,1,0,0,0,0,0,ch-1_isotope/english/gpt-5.6-terra__151e5ec4ca87.json
isotope,grok-4.3,English prompt / English response,English prompt / English response,252,5,2,2,0,0,1,0,0,ch-1_isotope/english/grok-4.3__67b792c26e6d.json
isotope,llama-4-maverick,English prompt / English response,English prompt / English response,433,8,3,4,0,0,1,0,0,ch-1_isotope/english/llama-4-maverick__cf3c2221af71.json
isotope,llama-4-maverick,English prompt / Bengali response,English prompt / Bengali response,153,3,2,1,0,0,0,0,0,ch-1_isotope/bengali-english/llama-4-maverick__4b101f39322e.json
isotope,gpt-5.6-terra,English prompt / Bengali response,English prompt / Bengali response,144,7,2,4,0,0,1,0,0,ch-1_isotope/bengali-english/gpt-5.6-terra__bde96ecab03b.json
isotope,gemini-3.8-flash,Bengali prompt / Bengali response,Bengali prompt / Bengali response,410,8,1,4,1,0,2,0,0,ch-1_isotope/bengali-native/gemini-3.8-flash__926e0654a00e.json
isotope,claude-sonnet-5,English prompt / Arabic response,English prompt / Arabic response,218,6,2,2,0,0,2,0,0,ch-1_isotope/arabic-english/claude-sonnet-5__bde180d94e2a.json
