stage,tamil_id,english_id,tamil_text,english_text,tamil_primary,english_primary,tamil_secondary,english_secondary,primary_match,function_set_match,function_jaccard,format_match,content_pair
first_pass,p1,p1,# ஆக்சிஜனேற்ற - ஒடுக்க வினைகள் (Redox Reactions),# Oxidation - Reduction Reactions (Redox Reactions),STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p2,p2,வணக்கம்! இந்த முக்கியமான தலைப்பை எளிமையாகப் புரிந்துகொள்வோம்.,Hello! Let us understand this important topic simply.,SOCIAL,SOCIAL,,,True,True,1.0,True,False
first_pass,p3,p3,## 1. அடிப்படை வரையறை,## 1. Basic Definition,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p4,p4,"**ஆக்சிஜனேற்றம் (Oxidation)** மற்றும் **ஒடுக்கம் (Reduction)** எப்போதும் ஒன்றாகவே நடக்கும். ஒன்று இல்லாமல் மற்றொன்று நடக்காது - அதனால்தான் இதை **""Redox""** (Reduction + Oxidation) என்று அழைக்கிறோம்.","**Oxidation** and **Reduction** always happen together. One does not happen without the other - that is why we call this **""Redox""** (Reduction + Oxidation).",CONCEPT,DEF,DEF,CONCEPT,False,True,1.0,True,True
first_pass,p5,p5,## 2. மூன்று வகையான வரையறைகள்,## 2. Three Types of Definitions,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p6,p6,### அ) பழைய முறை (ஆக்சிஜன் அடிப்படையில்),### a) Old method (Based on oxygen),STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p7,p7,| | ஆக்சிஜனேற்றம் | ஒடுக்கம் |,| | Oxidation | Reduction |,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p8,p8,|---|---|---|,|---|---|---|,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p9,p9,| ஆக்சிஜன் | சேர்க்கப்படும் | நீக்கப்படும் |,| Oxygen | is added | is removed |,DEF,DEF,,,True,True,1.0,True,True
first_pass,p10,p10,| ஹைட்ரஜன் | நீக்கப்படும் | சேர்க்கப்படும் |,| Hydrogen | is removed | is added |,DEF,DEF,,,True,True,1.0,True,True
first_pass,p11,p11,**உதாரணம்:** ,**Example:** ,STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p12,p12,$$2Mg + O_2 \rightarrow 2MgO$$,$$2Mg + O_2 \rightarrow 2MgO$$,WORKED,WORKED,,,True,True,1.0,True,True
first_pass,p13,p13,இங்கு Mg ஆக்சிஜனேற்றம் அடைகிறது (O சேர்கிறது),Here Mg undergoes oxidation (O is added),WORKED,WORKED,CONCEPT,CONCEPT,True,True,1.0,True,True
first_pass,p14,p14,### ஆ) எலக்ட்ரான் அடிப்படையில் (முக்கியமானது!),### b) Based on electrons (Important!),STRUCTURAL,STRUCTURAL,,,True,True,1.0,True,False
first_pass,p15,p15,- **ஆக்சிஜனேற்றம்** = எலக்ட்ரான் **இழத்தல்** (Loss of electrons),- **Oxidation** = **Loss** of electrons (Loss of electrons),DEF,DEF,,,True,True,1.0,True,True
first_pass,p16,p16,- **ஒடுக்கம்** = எலக்ட்ரான் **பெறுதல்** (Gain of electrons),- **Reduction** = **Gain** of electrons (Gain of electrons),DEF,DEF,,,True,True,1.0,True,True
first_pass,p17,p17,"**நினைவில் வைக்க எளிய வழி - ""OIL RIG""**","**Easy way to remember - ""OIL RIG""**",STUDY_TIP,STUDY_TIP,,,True,True,1.0,True,True
first_pass,p18,p18,- **O**xidation **I**s **L**oss (ஆக்சிஜனேற்றம் = இழத்தல்),- **O**xidation **I**s **L**oss (Oxidation = loss),STUDY_TIP,STUDY_TIP,DEF,DEF,True,True,1.0,True,True
