coder,scenario,language,turn_id,checking_for_understanding,hints_explanations,asking_for_justification,metacognition,positive_affective_behavior,cultural_responsiveness
coder_1,energy-transfer-en,English (US),0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),10,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),12,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
coder_1,energy-transfer-en,English (US),18,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,12,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,16,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
coder_2,energy-transfer-en,Tamil,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
coder_2,gravity-en,English (US),0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),12,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
coder_2,gravity-en,English (US),14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,gravity-en,English (US),18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
coder_1,gravity-en,Mandarin Chinese,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,12,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,14,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_1,gravity-en,Mandarin Chinese,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),14,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
coder_2,speed-en,English (US),16,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
coder_2,speed-en,English (US),18,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
coder_1,speed-en,Mandarin Chinese,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
